,Numer RSPO,Identyfikator typu szkoły / placówki,Typ szkoły / placówki,Nazwa szkoły / placówki,Regon,Typ szkoły dla oddziału,Tryb nauki,Liczba uczniów,Liczba uczniów na wsi,Liczba uczniów w miastach do 5 tys.,Liczba uczniów poza szkołą,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P27a,P28,P28a,P29,P29a,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,Typ organu rejestrującego,Organ rejestrujący,Część miejska,Typ organu prowadzącego,Organ prowadzący,Wojewodztwo,Powiat,Gmina,Typ gminy,Miejscowość,Ulica,Nr domu,Nr lokalu,Kod pocztowy,Poczta,Telefon,e-Mail,Specyfika szkoły,Kategoria uczniów,Publiczność,Klasa wielkości miejscowości
14,34265,3,Szkoła podstawowa,SZKOŁA PODSTAWOWA NR 9 IM.WŁ.JAGIEŁŁY W KUTNIE,001070630,Szkoła podstawowa,dzienna,695.77760000000001,0,0,0,0,0,0,0,1,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,259,6,1,695.77760000000001,0,0,0,0,0,695.77760000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Władysława Jagiełły,6,,99-301,Kutno,242536368,sp9@edu.kutno.pl,brak specyfiki,Dzieci lub młodzież,publiczna,miasto powyżej 5 tys.mieszkańców
15,34266,3,Szkoła podstawowa,SZKOŁA PODSTAWOWA NR 1 IM.TADEUSZA KOŚCIUSZKI W KUTNIE,000903334,Szkoła podstawowa,dzienna,765.83439999999996,0,0,0,0,0,0,0,3,6,1,20,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,258,3,0,765.83439999999996,0,0,0,0,0,765.83439999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Kanclerza Andrzeja Zamoyskiego,1,,99-300,Kutno,242547072,sp1kutno@poczta.onet.pl,brak specyfiki,Dzieci lub młodzież,publiczna,miasto powyżej 5 tys.mieszkańców
16,122700,1,Przedszkole,NIEPUBLICZNE PRZEDSZKOLE MALUCHOWO,101756808,Przedszkole,dzienna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,Gmina,MIASTO KUTNO,,Spółdzielnia,"""MIĘDZYNARODOWE CENTRUM ROZWOJU"" SPÓŁDZIELNIA SOCJALNA",ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Warszawskie Przedmieście,31,,99-300,Kutno,242524479,,brak specyfiki,Dzieci lub młodzież,niepubliczna,miasto powyżej 5 tys.mieszkańców
17,128307,81,Punkt przedszkolny,PUNKT PRZEDSZKOLNY NR 1 W KUTNIE,362231271,Punkt przedszkolny,dzienna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Narutowicza,22,,99-300,Kutno,242533967,pp1@edu.kutno.pl,brak specyfiki,Dzieci lub młodzież,publiczna,miasto powyżej 5 tys.mieszkańców
18,128308,81,Punkt przedszkolny,PUNKT PRZEDSZKOLNY NR 2 W KUTNIE,362231288,Punkt przedszkolny,dzienna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Łąkoszyńska,9,,99-300,Kutno,242533911,spnr_6@gazeta.pl,brak specyfiki,Dzieci lub młodzież,publiczna,miasto powyżej 5 tys.mieszkańców
19,128310,81,Punkt przedszkolny,PUNKT PRZEDSZKOLNY NR 3 W KUTNIE,362231294,Punkt przedszkolny,dzienna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Konduktorska,13,,99-300,Kutno,242533072,sp5kutno@wp.pl,brak specyfiki,Dzieci lub młodzież,publiczna,miasto powyżej 5 tys.mieszkańców
20,263961,3,Szkoła podstawowa,SZKOŁA PODSTAWOWA NR 2 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO,368245067,Szkoła podstawowa,dzienna,283,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,8,0,283,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Staszica,6,,99-300,Kutno,243551577,sp2kutno@tlen.pl,brak specyfiki,Dzieci lub młodzież,publiczna,miasto powyżej 5 tys.mieszkańców
21,263969,3,Szkoła podstawowa,SZKOŁA PODSTAWOWA NR 7 IM. ADAMA MICKIEWICZA,368246055,Szkoła podstawowa,dzienna,321,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,9,0,323,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. dr. Antoniego Troczewskiego,2,,99-300,Kutno,243554461,sp7kutno@onet.pl,brak specyfiki,Dzieci lub młodzież,publiczna,miasto powyżej 5 tys.mieszkańców
22,266090,1,Przedszkole,NIEPUBLICZNE PRZEDSZKOLE BE HAPPY,369246560,Przedszkole,dzienna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37,0,0,0,0,Gmina,MIASTO KUTNO,,Spółdzielnia,SPÓŁDZIELNIA SOCJALNA BE HAPPY,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,"ul. Generała Stefana ""Grota"" - Roweckiego",3,,99-300,Kutno,,kontakt@behappykutno.pl,brak specyfiki,Dzieci lub młodzież,niepubliczna,miasto powyżej 5 tys.mieszkańców
23,272980,81,Punkt przedszkolny,"TERAPEUTYCZNY PUNKT PRZEDSZKOLNY ""TO TU""",384346399,Punkt przedszkolny,dzienna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,25,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,Gmina,MIASTO KUTNO,,Fundacje,"FUNDACJA ""PRO APERTE""",ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Henryka Sienkiewicza,40,,99-300,Kutno,,przedszkole@proaperte.pl,brak specyfiki,Dzieci lub młodzież,niepubliczna,miasto powyżej 5 tys.mieszkańców
24,273360,1,Przedszkole,NIEPUBLICZNE PRZEDSZKOLE MIŚ,384455384,Przedszkole,dzienna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,Gmina,MIASTO KUTNO,,Osoba fizyczna,Ewa Wojtczak-Szczęsna,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Dojazd,5,,99-300,Kutno,,sekretariat@mis-przedszkole.pl,brak specyfiki,Dzieci lub młodzież,niepubliczna,miasto powyżej 5 tys.mieszkańców
